,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_total_debt,interpolated_net_debt,interpolated_working_capital,interpolated_net_income,pbv
0,2014-01-03 00:00:00+07:00,1445.5811767578125,1445.5811767578125,1479.594851505055,1428.574339384191,60001000,-0.0229885038505166,603.7072886406692,60853.254575768384,20122.86063721466,5038.6658195780765,5130.753210634009,4692187.49089535,2.394506748481933
1,2014-01-06 00:00:00+07:00,1418.3701171875,1479.5947265625,1479.5947265625,1404.7646484375,81736300,-0.0188236122659968,608.0798813987483,61294.09116850692,19936.129564816358,4297.367270831618,5828.058538611995,4735340.817876178,2.3325391294394824
2,2014-01-07 00:00:00+07:00,1408.1661376953125,1418.37024014238,1418.37024014238,1401.363402730601,73637100,-0.0071941585405232,609.4696929213324,61434.20938464957,19877.293935733065,4060.9559314339003,6049.514370402624,4749168.231220006,2.310477705537152
3,2014-01-08 00:00:00+07:00,1428.5743408203125,1418.3702383858815,1428.5743408203125,1404.7647684733072,84514500,0.0144927523668487,610.8261327971967,61570.96314790998,19820.140366358493,3829.8195628289795,6265.553029782838,4762721.469036227,2.3387577317269437
4,2014-01-09 00:00:00+07:00,1418.3701171875,1428.57421875,1438.7783203125,1418.3701171875,71932000,-0.0071429419815514,612.1494938573427,61704.381980989885,19764.65567400303,3603.9166944372023,6476.217996566995,4776003.13470321,2.3170322468943207
5,2014-01-10 00:00:00+07:00,1459.1866455078125,1418.3702358432583,1465.9893804519047,1411.567500899166,95283500,0.0287770644810594,613.4400689327712,61834.495406591,19710.82667597707,3383.205855678916,6681.552750569457,4789015.831599319,2.3786947077754865
6,2014-01-13 00:00:00+07:00,1510.2071533203125,1482.9962136208474,1523.812623170045,1479.5948461584144,159876500,0.0349650320399856,617.1180065607617,62205.298465538806,19559.142020980056,2751.8108114084735,7266.010534030276,4826466.143446105,2.4471934658604337
7,2014-01-15 00:00:00+07:00,1500.0029296875,1496.6015625,1523.8125,1479.5947265625,178597800,-0.0067568370407845,619.4114036241867,62436.51471697494,19466.055706653344,2356.0806361019977,7629.795122358952,4850135.902759694,2.4216585631309937
8,2014-01-16 00:00:00+07:00,1517.0098876953125,1520.4112551565129,1540.8194599237142,1503.4044178505114,93772300,0.011337949860775,620.5114122423315,62547.41567443944,19421.88403812254,2165.651092971947,7804.0616757728085,4861589.457976314,2.4447735493104306
9,2014-01-17 00:00:00+07:00,1513.6082763671875,1506.805542540818,1530.6151109331108,1506.805542540818,57115800,-0.0022423132213679,621.580684692766,62655.217883337195,19379.275785093963,1980.123285417818,7973.302375105493,4872792.268070643,2.435095416639807
10,2014-01-20 00:00:00+07:00,1530.615478515625,1500.0031689453126,1530.615478515625,1500.0031689453126,55963300,0.0112361979079926,624.6070133478172,62960.3272456472,19260.69969212545,1452.5355704144274,8451.304146760114,4904922.261403563,2.4505256037899947
11,2014-01-21 00:00:00+07:00,1534.016845703125,1523.8127425166297,1534.016845703125,1513.6086393301346,53197000,0.0022222218677669,625.5562694374204,63056.02968729517,19224.21327420965,1286.1999993674544,8600.876227911709,4915148.124792409,2.452244379362879
12,2014-01-22 00:00:00+07:00,1517.0098876953125,1513.608520234112,1527.2139900789132,1482.9962130833098,100488800,-0.0110865523122839,626.476253514318,63148.780993885,19189.224358348016,1124.5588109981386,8745.639854053936,4925136.259950808,2.421496232595257
13,2014-01-23 00:00:00+07:00,1513.6082763671875,1517.009643280372,1523.8123771067417,1500.0028087144483,83549700,-0.0022423132213679,627.3672584095116,63238.61068811841,19155.71976185094,967.570534726826,8885.638505001147,4934889.270257126,2.412635112971078
14,2014-01-24 00:00:00+07:00,1503.404541015625,1503.404541015625,1520.4113797148968,1489.7990700562077,85992300,-0.0067413316317564,628.2295769540017,63325.548292697116,19123.68630202881,815.1936999738647,9020.91566056771,4944409.759089732,2.393081440553861
15,2014-01-27 00:00:00+07:00,1462.5877685546875,1462.5877685546875,1479.5946030727653,1428.574099518532,79202500,-0.0271495604458955,630.6473427932629,63569.30379552221,19036.280915715994,385.3171390285627,9398.852953127102,4971602.130528962,2.319184858651104
16,2014-01-28 00:00:00+07:00,1462.5877685546875,1462.5877685546875,1472.7918692655342,1438.7782002293786,63022000,0.0,631.3978442449503,63644.96826849931,19010.000175697536,250.97136455247843,9515.678925314664,4980218.567250406,2.316428194815435
17,2014-01-29 00:00:00+07:00,1517.0098876953125,1472.7921106997092,1534.0167250013135,1472.7921106997092,98500700,0.0372094723548825,632.1211235009392,63717.8882653303,18985.124658905974,121.0296786964825,9628.000801193379,4988615.499389981,2.399872162622103
18,2014-01-30 00:00:00+07:00,1547.6221923828125,1493.20031309023,1547.6221923828125,1486.397578178657,137604700,0.0201793705735215,632.8174733922311,63788.09330871692,18961.641182651692,-4.5493891190790805,9735.862060577603,4996795.530326054,2.4456059724248003
19,2014-02-03 00:00:00+07:00,1510.2071533203125,1530.6153580949117,1540.8194604822108,1510.2071533203125,59464200,-0.0241758222689308,635.3394359304473,64042.35440185398,18881.36402921515,-464.06889157003866,10123.570529456825,5027398.709602714,2.377008364211851
20,2014-02-04 00:00:00+07:00,1493.2000732421875,1493.2000732421875,1517.009641608236,1476.19323869501,84787100,-0.0112614220113668,635.9055314632686,64099.42751854451,18864.64301530311,-568.4569278782205,10209.780903584011,5034533.285196812,2.348147640430516
21,2014-02-05 00:00:00+07:00,1520.4110107421875,1527.2137445710114,1527.2137445710114,1513.6082769133632,51822100,0.0182232361139098,636.4464546173987,64153.962818000975,18849.234945790682,-668.7311696238867,10291.791540102871,5041466.579857621,2.3889064032200262
22,2014-02-06 00:00:00+07:00,1568.030517578125,1530.6154726901436,1571.4318852952142,1520.411369538876,156438800,0.0313201538922636,636.9624982238388,64205.989822925105,18835.12663798826,-764.933087386686,10369.645918827766,5048201.19696351,2.4617312980757213
23,2014-02-07 00:00:00+07:00,1561.2275390625,1564.62890625,1571.431640625,1554.4248046875,89293100,-0.0043385498173418,637.4539551135898,64255.5380560186,18822.304909206232,-857.1041517462734,10443.387519573054,5054739.739892846,2.44916127123927
24,2014-02-10 00:00:00+07:00,1561.2275390625,1571.431640625,1578.234375,1561.2275390625,81759000,0.0,638.7837337927187,64389.60535133265,18791.427370086396,-1109.8469302022954,10640.370452074882,5073204.957405225,2.4440627656450444
