Date,Close,Open,High,Low,Volume,Change
2014-01-03 00:00:00+07:00,1445.5811767578125,1445.5811767578125,1479.594851505055,1428.574339384191,60001000,-0.02298850385051665
2014-01-06 00:00:00+07:00,1418.3701171875,1479.5947265625,1479.5947265625,1404.7646484375,81736300,-0.018823612265996825
2014-01-07 00:00:00+07:00,1408.1661376953125,1418.37024014238,1418.37024014238,1401.3634027306007,73637100,-0.007194158540523299
2014-01-08 00:00:00+07:00,1428.5743408203125,1418.3702383858815,1428.5743408203125,1404.7647684733072,84514500,0.014492752366848771
2014-01-09 00:00:00+07:00,1418.3701171875,1428.57421875,1438.7783203125,1418.3701171875,71932000,-0.0071429419815514095
2014-01-10 00:00:00+07:00,1459.1866455078125,1418.3702358432583,1465.9893804519047,1411.567500899166,95283500,0.028777064481059433
2014-01-13 00:00:00+07:00,1510.2071533203125,1482.9962136208474,1523.812623170045,1479.5948461584144,159876500,0.03496503203998569
2014-01-15 00:00:00+07:00,1500.0029296875,1496.6015625,1523.8125,1479.5947265625,178597800,-0.006756837040784558
2014-01-16 00:00:00+07:00,1517.0098876953125,1520.4112551565127,1540.8194599237142,1503.4044178505114,93772300,0.011337949860775076
2014-01-17 00:00:00+07:00,1513.6082763671875,1506.805542540818,1530.6151109331108,1506.805542540818,57115800,-0.0022423132213679198
2014-01-20 00:00:00+07:00,1530.615478515625,1500.0031689453126,1530.615478515625,1500.0031689453126,55963300,0.011236197907992684
2014-01-21 00:00:00+07:00,1534.016845703125,1523.8127425166297,1534.016845703125,1513.6086393301346,53197000,0.0022222218677669936
2014-01-22 00:00:00+07:00,1517.0098876953125,1513.6085202341121,1527.2139900789132,1482.9962130833098,100488800,-0.011086552312283948
2014-01-23 00:00:00+07:00,1513.6082763671875,1517.009643280372,1523.8123771067415,1500.0028087144485,83549700,-0.0022423132213679198
2014-01-24 00:00:00+07:00,1503.404541015625,1503.404541015625,1520.4113797148968,1489.7990700562075,85992300,-0.0067413316317564975
2014-01-27 00:00:00+07:00,1462.5877685546875,1462.5877685546875,1479.5946030727653,1428.574099518532,79202500,-0.02714956044589556
2014-01-28 00:00:00+07:00,1462.5877685546875,1462.5877685546875,1472.7918692655342,1438.7782002293786,63022000,0.0
2014-01-29 00:00:00+07:00,1517.0098876953125,1472.7921106997092,1534.0167250013137,1472.7921106997092,98500700,0.03720947235488259
2014-01-30 00:00:00+07:00,1547.6221923828125,1493.20031309023,1547.6221923828125,1486.3975781786573,137604700,0.020179370573521593
2014-02-03 00:00:00+07:00,1510.2071533203125,1530.6153580949115,1540.8194604822108,1510.2071533203125,59464200,-0.02417582226893089
2014-02-04 00:00:00+07:00,1493.2000732421875,1493.2000732421875,1517.009641608236,1476.19323869501,84787100,-0.011261422011366817
2014-02-05 00:00:00+07:00,1520.4110107421875,1527.2137445710114,1527.2137445710114,1513.6082769133632,51822100,0.018223236113909858
2014-02-06 00:00:00+07:00,1568.030517578125,1530.6154726901436,1571.4318852952142,1520.411369538876,156438800,0.031320153892263614
2014-02-07 00:00:00+07:00,1561.2275390625,1564.62890625,1571.431640625,1554.4248046875,89293100,-0.00433854981734183
2014-02-10 00:00:00+07:00,1561.2275390625,1571.431640625,1578.234375,1561.2275390625,81759000,0.0
