,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_total_debt,interpolated_net_debt,interpolated_working_capital,interpolated_net_income,pbv,adx,macd,rsi,%k
14,2014-01-24 00:00:00+07:00,1503.404541015625,1503.404541015625,1520.4113797148968,1489.7990700562077,85992300,-0.0067413316317564,628.2295769540017,63325.548292697116,19123.68630202881,815.1936999738647,9020.91566056771,4944409.759089732,2.393081440553861,100.0,9.982924690335949,60.17632222097056,73.17081834869423
15,2014-01-27 00:00:00+07:00,1462.5877685546875,1462.5877685546875,1479.5946030727653,1428.574099518532,79202500,-0.0271495604458955,630.6473427932629,63569.30379552221,19036.280915715994,385.3171390285627,9398.852953127102,4971602.130528962,2.319184858651104,100.0,6.512097833205644,45.823801945791864,43.902263592111645
16,2014-01-28 00:00:00+07:00,1462.5877685546875,1462.5877685546875,1472.7918692655342,1438.7782002293786,63022000,0.0,631.3978442449503,63644.96826849931,19010.000175697536,250.97136455247843,9515.678925314664,4980218.567250406,2.316428194815435,100.0,3.7842939136837686,45.823801945791864,42.499820818348795
17,2014-01-29 00:00:00+07:00,1517.0098876953125,1472.7921106997092,1534.0167250013135,1472.7921106997092,98500700,0.0372094723548825,632.1211235009392,63717.8882653303,18985.124658905974,121.0296786964825,9628.000801193379,4988615.499389981,2.399872162622103,73.72403852842945,5.080087412370403,60.42109820033057,81.5789467269276
18,2014-01-30 00:00:00+07:00,1547.6221923828125,1493.20031309023,1547.6221923828125,1486.397578178657,137604700,0.0201793705735215,632.8174733922311,63788.09330871692,18961.641182651692,-4.5493891190790805,9735.862060577603,4996795.530326054,2.4456059724248003,57.74473641866218,7.977869777499336,65.97466026986355,100.0
19,2014-02-03 00:00:00+07:00,1510.2071533203125,1530.6153580949117,1540.8194604822108,1510.2071533203125,59464200,-0.0241758222689308,635.3394359304473,64042.35440185398,18881.36402921515,-464.06889157003866,10123.570529456825,5027398.709602714,2.377008364211851,47.14039641055197,7.676181434384716,55.68939995272749,68.5714922748451
20,2014-02-04 00:00:00+07:00,1493.2000732421875,1493.2000732421875,1517.009641608236,1476.19323869501,84787100,-0.0112614220113668,635.9055314632686,64099.42751854451,18864.64301530311,-568.4569278782205,10209.780903584011,5034533.285196812,2.348147640430516,42.246731011250354,6.2259103127071285,51.74083069857733,54.28560186792044
21,2014-02-05 00:00:00+07:00,1520.4110107421875,1527.2137445710114,1527.2137445710114,1513.6082769133632,51822100,0.0182232361139098,636.4464546173987,64153.962818000975,18849.234945790682,-668.7311696238867,10291.791540102871,5041466.579857621,2.3889064032200262,37.2672352312432,6.854119426559919,56.99479022741246,77.14269839530583
22,2014-02-06 00:00:00+07:00,1568.030517578125,1530.6154726901436,1571.4318852952142,1520.411369538876,156438800,0.0313201538922636,636.9624982238388,64205.989822925105,18835.12663798826,-764.933087386686,10369.645918827766,5048201.19696351,2.4617312980757213,34.12930690730884,10.495241235866843,64.31633058069049,97.61905331333757
23,2014-02-07 00:00:00+07:00,1561.2275390625,1564.62890625,1571.431640625,1554.4248046875,89293100,-0.0043385498173418,637.4539551135898,64255.5380560186,18822.304909206232,-857.1041517462734,10443.387519573054,5054739.739892846,2.44916127123927,31.639407178174654,12.731658677837686,62.674710647039625,92.85698978376593
24,2014-02-10 00:00:00+07:00,1561.2275390625,1571.431640625,1578.234375,1561.2275390625,81759000,0.0,638.7837337927187,64389.60535133265,18791.427370086396,-1109.8469302022954,10640.370452074882,5073204.957405225,2.4440627656450444,30.083371749413672,14.321075232662224,62.674710647039625,88.63637268955455
25,2014-02-11 00:00:00+07:00,1547.6221923828125,1547.6221923828125,1557.8262947501717,1537.4180900154531,103091300,-0.0087145187612162,639.1797721257237,64429.5337241209,18783.620130489828,-1186.309286745563,10698.095739045348,5078985.237412038,2.421262780635058,26.791633074776676,14.435203793666687,59.17167085308939,79.54555240613726
26,2014-02-12 00:00:00+07:00,1557.8262939453125,1551.0235590372545,1561.2276613993415,1537.4180892211382,132252200,0.0065934060733447,639.5526878970446,64467.13093858713,18777.03355646561,-1258.9481427838844,10751.92564710801,5084582.46013414,2.435806030411199,24.281882390599137,15.07873603362782,60.9352215240724,86.36372879240453
27,2014-02-13 00:00:00+07:00,1540.8193359375,1557.826171875,1557.826171875,1540.8193359375,97344200,-0.0109171080716201,639.9027739376827,64502.42651743308,18771.65446532411,-1327.8049688969115,10801.903656077226,5089999.228949901,2.4078960096640456,22.155728774490356,14.188691648919303,56.55089989812409,75.00001991702001
28,2014-02-14 00:00:00+07:00,1530.615478515625,1540.8195817057292,1547.622317165799,1530.615478515625,56708400,-0.0066223581077183,640.2303230786388,64535.44998336045,18767.469674375727,-1392.9212356642947,10848.073245767358,5095238.14723769,2.39072631104919,20.078834668877228,12.593683953208483,54.03866055461564,68.18200666063086
29,2014-02-17 00:00:00+07:00,1547.6221923828125,1534.0167225596667,1551.0235598385989,1530.6153551038803,119235400,0.0111110295863989,641.0806774134254,64621.18293064833,18761.949275793184,-1566.241385689123,10964.166297306861,5109913.832716907,2.414083354730046,18.04319702788139,12.43755313671818,57.43285502532986,78.0488869226919
30,2014-02-18 00:00:00+07:00,1568.030517578125,1554.425046709768,1574.8332530123034,1547.6223112755897,90236800,0.0131868910227312,641.321007265664,64645.41317191861,18762.40985872116,-1616.810120870466,10995.537008024261,5114467.382676492,2.445001021038714,18.05634749039813,13.66411632082395,61.14139445581886,90.32280130781784
31,2014-02-19 00:00:00+07:00,1585.0374755859375,1574.8333716658562,1591.8402115326585,1571.432003692496,120156400,0.0108460631455569,641.5402643732255,64667.51891377893,18763.998828394208,-1663.845649604431,11023.316698534378,5118856.098999946,2.4706749733541566,19.126560705177774,15.716303544742686,63.959294711456366,94.11767054528003
32,2014-02-20 00:00:00+07:00,1605.4451904296875,1581.6356219275522,1615.649291216317,1578.234254998676,160660300,0.0128752254492947,641.7387415671112,64687.529678930994,18766.7030021227,-1707.3894424706714,11047.548848651575,5123082.5850656405,2.5017115010217825,21.248597720610114,18.649982103684124,67.04732467278785,92.68292727196594
33,2014-02-21 00:00:00+07:00,1632.6563720703125,1619.05090230306,1646.2618418375653,1615.6495348612468,122935900,0.0169493059014627,641.9167316783221,64705.47499007654,18770.509197217034,-1747.482970048841,11068.276938190213,5127149.4442519415,2.543408344882449,24.177033457577636,22.75468587840578,70.65746114762038,92.00001086864437
34,2014-02-24 00:00:00+07:00,1615.6495361328125,1632.6563733552632,1646.2618431332237,1608.8468012438325,116059400,-0.0104166658878341,642.3307078259159,64747.213426491166,18788.408083798982,-1847.4766668514396,11109.87164147835,5138418.294318171,2.515292382021202,26.159220862551454,24.429637714830733,65.80509811200807,76.92311795849179
35,2014-02-25 00:00:00+07:00,1557.8262939453125,1619.0509081178357,1619.0509081178357,1554.4249264912837,109895400,-0.0357894709801388,642.4296779164376,64757.192148627786,18796.49053746057,-1874.1838390738455,11117.018286846345,5141872.679770587,2.4248977709089314,24.506549318569217,21.110211850578708,52.582906522187265,29.729665163625512
36,2014-02-26 00:00:00+07:00,1554.4251708984375,1547.622434920764,1571.4320108426218,1544.221066931927,133970000,-0.0021832492236739,642.5096250792895,64765.253030266475,18805.60909903995,-1897.648098906444,11120.878270707575,5145180.455235452,2.419302544621977,22.524587078165023,18.01345360821506,51.922060301747926,20.5884469129022
37,2014-02-27 00:00:00+07:00,1554.4251708984375,1554.4251708984375,1557.8265388872744,1547.622434920764,51654100,0.0,642.5708421454726,64771.425594108965,18815.7505858475,-1917.9109169288868,11121.49507287641,5148344.224091135,2.419072060145749,20.743936903925757,15.38318406717076,51.92206030174794,20.5884469129022
38,2014-02-28 00:00:00+07:00,1581.6358642578125,1554.424924657678,1581.6358642578125,1554.424924657678,77853600,0.0175053092736832,642.6136219459881,64775.73936285697,18826.90181519362,-1935.0137637208268,11118.912173167202,5151366.589716006,2.4612548041982674,20.182783603577004,15.219425019152595,56.943012576431485,44.11764682468054
39,2014-03-03 00:00:00+07:00,1564.6290283203125,1571.4317632260531,1571.4317632260531,1554.4249259617018,55706500,-0.0107526873421528,642.6342660635383,64777.823125551266,18866.28213156725,-1967.77718251016,11092.400060914952,5159611.300989427,2.4347114851258413,19.675900550880637,13.61738018821461,53.20322607644056,29.41176493643435
40,2014-03-04 00:00:00+07:00,1564.6290283203125,1561.2276608674424,1571.4317632260531,1547.6221910559614,67568600,0.0,642.6062251113931,64774.99694093854,18881.34050417152,-1972.6548501766188,11077.45315183719,5162094.087474731,2.4348177269043583,18.84397100387433,12.207088419140973,53.20322607644057,29.41176493643435
41,2014-03-05 00:00:00+07:00,1578.2344970703125,1581.6358645208952,1591.839966872643,1574.83312961973,81012700,0.0086956514954896,642.5612110485852,64770.45957473992,18897.3427058663,-1974.5798995108391,11059.52393995319,5164448.487621065,2.4561621055444935,18.907763301582197,12.008858889012572,55.89100116238526,41.1764704470313
42,2014-03-06 00:00:00+07:00,1571.4315185546875,1578.2342524012445,1591.8397200943589,1564.6287847081303,67358000,-0.0043104991864348,642.4995167061155,64764.24054965714,18914.275553961976,-1973.5938010924715,11038.655905077312,5166677.104806797,2.4458096507385747,18.43334771228149,11.191661959067687,54.214279507057796,35.293906582317256
43,2014-03-07 00:00:00+07:00,1561.2275390625,1581.6357421875,1581.6357421875,1547.6220703125,179233400,-0.006493429316966,642.4214349149854,64756.36938839192,18932.125865768943,-1969.7380255011726,11014.89252702392,5168782.542410297,2.4302232992414154,17.210476655130766,9.635068488567413,51.708536695354624,16.66634924162493
44,2014-03-10 00:00:00+07:00,1486.3975830078125,1537.4180950103691,1537.4180950103691,1479.5948480741383,302480800,-0.0479302050357259,642.0917931596412,64723.138314518794,18991.049756561464,-1941.3673414862046,10926.665131942242,5174385.811511082,2.3149300440260485,17.645642102114603,2.509528292114055,37.88123290642371,4.0816329179406665
45,2014-03-11 00:00:00+07:00,1482.9959716796875,1486.3973385872098,1503.4041731248208,1472.7918709571209,181133900,-0.0022884935814021,641.9510898838788,64708.95383554101,19012.438096317474,-1926.4475629997055,10891.755179322387,5176024.5645693345,2.310138568263734,18.201021043499807,-3.363167779749574,37.39174176699887,5.882344128243511
46,2014-03-12 00:00:00+07:00,1472.7921142578125,1469.390746788395,1479.5948491966478,1448.9825419718895,142736000,-0.0068805698847028,641.7954633144607,64693.26483388938,19034.67798633672,-1908.8654602385336,10854.16728259681,5177553.1549371965,2.294799820883415,19.236578187011173,-8.717467476599268,35.893437031657726,12.068966255335425
47,2014-03-13 00:00:00+07:00,1489.7987060546875,1476.193238419485,1503.4041736898905,1476.193238419485,174546300,0.0115471773865689,641.625206282388,64676.10083226563,19057.756243929583,-1888.6625037823455,10813.944921579881,5178974.185993035,2.3219142444335437,19.268937829727186,-11.485630034385395,40.194752886917016,20.68953196940752
48,2014-03-14 00:00:00+07:00,1551.0234375,1476.193359375,1551.0234375,1469.390625,243934500,0.0410959757157052,641.4406116186619,64657.49135337148,19081.659686406467,-1865.8801642107946,10771.13157608596,5180290.261115222,2.4180312400021333,17.909659973855824,-8.742523244187396,52.540475369214704,59.99992699438466
49,2014-03-17 00:00:00+07:00,1530.615478515625,1554.425052625868,1557.8264203559029,1517.010007595486,211329792,-0.0131577373306939,640.8037301475728,64593.28528008386,19158.189296245073,-1782.4715526004911,10627.580430885824,5183634.784663548,2.388587029858791,16.592068848872184,-8.089920001998507,48.91568629967898,57.14294276300159
50,2014-03-18 00:00:00+07:00,1503.404541015625,1530.6154829344598,1537.4182184141685,1503.404541015625,184497300,-0.0177777749421356,640.5647132672428,64569.189119125316,19185.261651361896,-1749.7863863640187,10574.837945627523,5184557.069834806,2.346998687060688,15.63666059244508,-9.617223371829368,44.50666303275166,38.095324118815526
51,2014-03-19 00:00:00+07:00,1537.4180908203125,1503.404416244642,1557.8262955657149,1503.404416244642,184618800,0.0226243495191984,640.3128229102645,64543.79509440498,19213.093277914675,-1714.7291899104448,10519.721874964032,5185387.415964255,2.4010421715945727,14.664052960681698,-8.03630230782801,50.51138220850952,61.90476197499806
52,2014-03-20 00:00:00+07:00,1489.7987060546875,1537.4178427778968,1544.220576595498,1489.7987060546875,139017100,-0.0309736076672656,640.0483519076387,64517.13272862458,19241.6709932138,-1677.3414338194248,10462.275698709704,5186128.426430261,2.3276346257503855,13.678769073353457,-10.445195856421151,43.42663241198179,28.57125844957235
53,2014-03-21 00:00:00+07:00,1469.390625,1500.0029296875,1510.20703125,1469.390625,204697900,-0.0136985493219634,639.7715930903664,64489.23154448582,19270.98161456966,-1637.6645886706115,10402.542896678911,5186782.704611193,2.2967425263479173,13.247607420204133,-13.81707335422493,40.78633402745786,14.28562991548285
54,2014-03-24 00:00:00+07:00,1517.0098876953125,1479.5948456221097,1523.8126226177128,1479.5948456221097,96374000,0.0324074904828743,638.8705180606814,64398.39030893659,19363.179088081553,-1505.3142246739335,10210.059534071283,5188251.179227236,2.374518536714232,12.510196256253856,-12.553014856086975,48.63395728558562,47.61904799185851
55,2014-03-25 00:00:00+07:00,1489.7987060546875,1496.601439872289,1510.2069075074917,1489.7987060546875,64711900,-0.0179373792229957,638.5475362948339,64365.82907838161,19395.28950676825,-1456.8957290904777,10141.615027078198,5188584.562051558,2.3331054015167463,11.830550735571386,-13.563104234668572,44.96658092758502,28.57130780492309
56,2014-03-26 00:00:00+07:00,1503.404541015625,1500.003173275771,1506.805908755479,1476.1935990967902,108826700,0.0091326666519726,638.2137308693449,64332.17664297688,19428.06691806363,-1406.3954973474883,10071.101293380445,5188844.229482652,2.355644305815479,11.536395185852214,-13.126673787800883,47.114010773389765,41.0257716777881
57,2014-03-27 00:00:00+07:00,1479.5948486328125,1500.003053441541,1517.009890782148,1479.5948486328125,117110500,-0.0158371826965002,637.8693946152156,64297.46252542411,19461.498139278076,-1353.8550000246269,9998.561812792379,5189032.784898882,2.3195890273515225,10.978097959754727,-14.513968658191516,43.88671455745819,28.124968638952147
58,2014-03-28 00:00:00+07:00,1506.8060302734375,1489.7991902026313,1513.60876630176,1489.7991902026313,66329600,0.0183909680854652,637.5148203634469,64261.716248425015,19495.56998772199,-1299.3157077015367,9924.040065128363,5189152.831678619,2.363562355169105,10.462738242542908,-13.285878069580576,48.249664422216505,53.12516345433801
59,2014-04-01 00:00:00+07:00,1534.016845703125,1517.0100070589665,1534.016845703125,1517.0100070589665,155473900,0.0180586053433498,636.0,64109.0,19638.0,-1062.0,9607.0,5189000.0,2.41197617248919,10.029467888037772,-10.021452095883205,52.24804832157833,78.12502181447904
60,2014-04-02 00:00:00+07:00,1530.615478515625,1534.0168462456595,1540.8195817057292,1527.2141107855905,71968500,-0.0022172945473365,635.5986282250502,64068.53576629517,19675.07724424704,-998.0887913705855,9523.219114171638,5188816.554272796,2.4081478633614526,9.839387998708883,-7.6188311254868495,51.71021916447463,69.23085077623875
61,2014-04-03 00:00:00+07:00,1537.4180908203125,1530.6153559051784,1537.4180908203125,1520.4112535324773,96763700,0.0044443639830982,635.1887754384671,64027.21650935435,19712.71601958588,-932.4276112188641,9437.716840153487,5188580.22017931,2.4204113017567757,9.41132989137683,-5.111322125240349,52.75762002071449,76.9229988225258
62,2014-04-04 00:00:00+07:00,1547.6221923828125,1537.4180900154531,1554.4249272943853,1523.8126201923076,129922300,0.0066371676146046,634.770734471252,63985.071751879266,19750.903143326905,-865.0579301244888,9350.536657759909,5188293.601097911,2.4380805672648767,9.625636835929239,-2.280561322543008,54.356871746206984,88.46142794100028
63,2014-04-07 00:00:00+07:00,1578.2344970703125,1557.8262923668171,1581.6358645208952,1557.8262923668171,213134600,0.0197802182200343,633.4704107958235,63853.979703265584,19868.62277806696,-653.1125869819676,9079.363458470207,5187158.067709911,2.491409969863612,10.667696062085904,2.388613908900652,58.85664565991435,96.96970003796952
