,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_net_income,pbv
0,2014-01-03 00:00:00+07:00,1590.6619873046875,1624.1496080900492,1632.5215132863898,1565.546271715666,71912500,-0.0306123253634077,2596.256256250747,64011.121604781234,3870519578.0350037,0.6126752640364408
1,2014-01-06 00:00:00+07:00,1565.5467529296875,1573.918660699365,1590.66247623872,1557.17484516001,58190000,-0.0157891711598369,2604.8231866594515,64222.33270961404,3837673578.7148438,0.6010184341676637
2,2014-01-07 00:00:00+07:00,1569.7320556640625,1565.546103515625,1582.289912109375,1561.3601513671874,36152000,0.0026733808661687,2607.610066082219,64291.040904413,3827243878.3698225,0.6019811305693005
3,2014-01-08 00:00:00+07:00,1561.360595703125,1573.918455722185,1582.2903624015582,1548.802735684065,55877500,-0.0053330502685032,2610.3630733473537,64358.91391822752,3817070382.097766,0.5981392441707127
4,2014-01-09 00:00:00+07:00,1573.918212890625,1557.1744021151928,1578.104165584483,1552.988449421335,97317500,0.0080427399167486,2613.0825143743177,64425.95929451056,3807151122.5139437,0.6023224311642097
5,2014-01-10 00:00:00+07:00,1573.918212890625,1573.918212890625,1582.2901182783412,1561.360354809051,120076000,0.0,2615.768695082571,64492.18457671506,3797484132.233623,0.6017038952448132
6,2014-01-13 00:00:00+07:00,1640.8935546875,1582.2902134486608,1649.2654605787627,1582.2902134486608,196030500,0.0425532541960167,2623.6307344896763,64686.01529338666,3769977103.366371,0.6254285456854396
7,2014-01-15 00:00:00+07:00,1666.0093994140625,1649.2655863546247,1707.868932062657,1645.0796330897651,132835000,0.0153061998779961,2628.7114010243113,64811.27359741224,3752864361.918983,0.633774174968344
8,2014-01-16 00:00:00+07:00,1674.381591796875,1682.7534997558594,1686.9394537353514,1657.6377758789065,45956000,0.0050252972076609,2631.2044441289804,64872.7367276572,3744669672.3803306,0.636355565426674
9,2014-01-17 00:00:00+07:00,1657.6376953125,1674.3815104166663,1678.5674641927085,1657.6376953125,31507500,-0.0100000481171117,2633.6663683511656,64933.43256799418,3736713480.452065,0.6294030691329674
10,2014-01-20 00:00:00+07:00,1645.0797119140625,1674.3813861720737,1674.3813861720737,1632.521851517772,39292500,-0.0075758312168873,2640.8684869174244,65110.99178408676,3714256216.4822764,0.6229313273506836
11,2014-01-21 00:00:00+07:00,1649.2655029296875,1636.7076437703245,1661.8233620890503,1636.7076437703245,28476000,0.0025444305131905,2643.2089948042817,65168.69389932128,3707234341.1482472,0.6239633362975177
12,2014-01-22 00:00:00+07:00,1657.6376953125,1645.079833984375,1657.6376953125,1628.3360188802085,100006500,0.0050763157101998,2645.519913405959,65225.66644191254,3700441126.50095,0.6265829589535707
13,2014-01-23 00:00:00+07:00,1707.868896484375,1674.3812710631128,1716.2408028396906,1657.6374583524816,160911500,0.030302883020771,2647.8015486419176,65281.91695531347,3693874605.155653,0.6450139351872337
14,2014-01-24 00:00:00+07:00,1703.682861328125,1703.682861328125,1716.2407202568334,1670.1952375182354,90143000,-0.0024510283926751,2650.0542064316182,65337.45298297702,3687532809.7276273,0.6428860425546494
15,2014-01-27 00:00:00+07:00,1640.8935546875,1666.0092723612884,1666.0092723612884,1615.777837013712,106837500,-0.0368550438968886,2656.641374317781,65499.84958607272,3669836105.09986,0.6176571555913818
16,2014-01-28 00:00:00+07:00,1674.381591796875,1640.8939599609375,1682.7534997558594,1632.5220520019532,77513500,0.0204084152891639,2658.781181517059,65552.6031053161,3664373539.4936047,0.6297553192555316
17,2014-01-29 00:00:00+07:00,1674.381591796875,1682.7534997558594,1732.9849475097656,1674.381591796875,144919000,0.0,2660.893540867383,65604.67985608682,3659125862.8809657,0.6292553858622505
18,2014-01-30 00:00:00+07:00,1661.8233642578125,1649.2655050820608,1666.0093173163964,1645.079552023477,81985500,-0.007500218349621,2662.978758288215,65656.08738183777,3654091107.8772106,0.6240467968757086
19,2014-02-03 00:00:00+07:00,1645.0797119140625,1657.637572310353,1674.3813861720737,1645.0797119140625,55407000,-0.0100754705366823,2671.054327065833,65855.17610370294,3636041956.25642,0.6158915209041035
20,2014-02-04 00:00:00+07:00,1649.2655029296875,1649.2655029296875,1657.6374090359295,1624.1497846109612,83683500,0.0025444305131905,2673.008423631115,65903.35065614924,3632042298.5261245,0.6170072224049572
