,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_net_income,adx,macd,rsi,%k,pbv
0,2014-01-23 00:00:00+07:00,1707.868896484375,1674.3812710631128,1716.2408028396906,1657.6374583524816,160911500,0.030302883020771,2647.8015486419176,65281.91695531347,3693874605.155653,100.0,12.725334650148852,78.14860971588746,94.99999820976537,0.6450139351872337
1,2014-01-24 00:00:00+07:00,1703.682861328125,1703.682861328125,1716.2407202568334,1670.1952375182354,90143000,-0.0024510283926751,2650.0542064316182,65337.45298297702,3687532809.7276273,100.0,14.596453101223233,76.11200260385723,92.49994835410185,0.6428860425546494
2,2014-01-27 00:00:00+07:00,1640.8935546875,1666.0092723612884,1666.0092723612884,1615.777837013712,106837500,-0.0368550438968886,2656.641374317781,65499.84958607272,3669836105.09986,64.43397813390895,12.024633984211505,53.563326813736914,54.99992956669825,0.6176571555913818
3,2014-01-28 00:00:00+07:00,1674.381591796875,1640.8939599609375,1682.7534997558594,1632.5220520019532,77513500,0.0204084152891639,2658.781181517059,65552.6031053161,3664373539.4936047,50.13289402789397,11.986430821338445,60.315950719336094,75.00018260249655,0.6297553192555316
4,2014-01-29 00:00:00+07:00,1674.381591796875,1682.7534997558594,1732.9849475097656,1674.381591796875,144919000,0.0,2660.893540867383,65604.67985608682,3659125862.8809657,47.56925292615578,11.810025346160272,60.315950719336094,67.44194674048643,0.6292553858622505
5,2014-01-30 00:00:00+07:00,1661.8233642578125,1649.2655050820608,1666.0093173163964,1645.079552023477,81985500,-0.007500218349621,2662.978758288215,65656.08738183777,3654091107.8772106,41.52365033406421,10.725212863061644,56.7282293002183,58.53648819662618,0.6240467968757086
6,2014-02-03 00:00:00+07:00,1645.0797119140625,1657.637572310353,1674.3813861720737,1645.0797119140625,55407000,-0.0100754705366823,2671.054327065833,65855.17610370294,3636041956.25642,37.8942645956047,8.668248624432636,52.26448087068999,41.66668388023525,0.6158915209041035
7,2014-02-04 00:00:00+07:00,1649.2655029296875,1649.2655029296875,1657.6374090359295,1624.1497846109612,83683500,0.0025444305131905,2673.008423631115,65903.35065614924,3632042298.526125,32.95177873433107,7.2520182805888,53.25474275592718,28.57136036734136,0.6170072224049572
8,2014-02-05 00:00:00+07:00,1666.0093994140625,1657.6374928843436,1666.0093994140625,1645.0796330897651,42715000,0.0101523353605783,2674.9372137836704,65950.90124429345,3628243758.096329,29.83509055090331,7.192265490021782,57.089482041730506,42.85709475112585,0.6228218706701941
9,2014-02-06 00:00:00+07:00,1699.4970703125,1653.4515831858066,1699.4970703125,1649.2656298106526,63581000,0.0201005293908997,2676.8410034429585,65997.8354115885,3624644367.582301,29.47565190417309,9.335743303017123,63.53285346587088,71.42845936945682,0.6348890606975175
