Date,Close,Open,High,Low,Volume,Change
2014-01-03 00:00:00+07:00,2899.854248046875,2942.499163459329,3006.46653657801,2899.854248046875,7189500,-0.03546107641665652
2014-01-06 00:00:00+07:00,2882.796875,2878.5323825813607,2933.970784023669,2861.4744129068044,5757600,-0.005882148407411747
2014-01-07 00:00:00+07:00,2814.564697265625,2882.7965687144883,2882.7965687144883,2814.564697265625,5678800,-0.023668742784513697
2014-01-08 00:00:00+07:00,2878.5322265625,2814.5648437500004,2891.325703125,2780.44890625,3621500,0.02272732595524274
2014-01-09 00:00:00+07:00,2938.235107421875,2835.887295262042,2942.4995995952013,2835.887295262042,6190900,0.020740737348169835
2014-01-10 00:00:00+07:00,3027.7890625,2912.6477882922536,3113.078895246479,2912.6477882922536,11283900,0.030478825486740302
2014-01-13 00:00:00+07:00,3245.2783203125,3036.318218216163,3266.6007797100856,3036.318218216163,12796900,0.07183104678795638
2014-01-15 00:00:00+07:00,3351.890625,3266.60078721374,3360.419608778626,3198.3689169847326,13224400,0.03285151354205995
2014-01-16 00:00:00+07:00,3356.155029296875,3351.890537518861,3356.155029296875,3287.923160848654,5497800,0.0012722384987950974
2014-01-17 00:00:00+07:00,3339.097412109375,3360.419873233956,3360.419873233956,3309.2459665349616,3997400,-0.0050824878584567745
2014-01-20 00:00:00+07:00,3334.83251953125,3262.3361604110055,3339.0970112442055,3262.3361604110055,2713800,-0.0012772591068047623
2014-01-21 00:00:00+07:00,3347.6259765625,3343.3614848726115,3347.6259765625,3309.2455513535033,1744500,0.003836311705706974
2014-01-22 00:00:00+07:00,3437.1806640625,3347.626329142757,3441.445156201535,3343.361837003722,10580800,0.026751700496708164
2014-01-23 00:00:00+07:00,3360.419921875,3462.7677367544416,3479.825705901015,3360.419921875,6886100,-0.022332472363199685
2014-01-24 00:00:00+07:00,3313.5107421875,3313.5107421875,3377.4781310328185,3283.6592940596847,9489900,-0.013959320792660379
2014-01-27 00:00:00+07:00,3292.18798828125,3270.8655272172523,3360.419863686043,3044.847439938876,15219800,-0.006435094244533257
2014-01-28 00:00:00+07:00,3411.59326171875,3292.187497558594,3441.4447027587894,3283.658514404297,14279100,0.03626927558891846
2014-01-29 00:00:00+07:00,3475.56103515625,3441.445098614839,3603.4957971865415,3441.445098614839,21611900,0.018750117182865234
2014-01-30 00:00:00+07:00,3526.73486328125,3415.858071932625,3526.73486328125,3360.419676258313,12809100,0.01472390431569548
