,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_total_debt,interpolated_net_debt,interpolated_working_capital,interpolated_net_income,pbv
0,2014-01-03 00:00:00+07:00,2899.854248046875,2942.499163459329,3006.46653657801,2899.854248046875,7189500,-0.0354610764166565,608.1802034347974,9972.73463864195,3123.0923104177045,1995.9688396064244,6534.425220916811,338671.8202679443,4.768083919321072
1,2014-01-06 00:00:00+07:00,2882.796875,2878.5323825813607,2933.970784023669,2861.4744129068044,5757600,-0.0058821484074117,611.6409510409239,10029.551999260844,3095.4245647516104,1996.8934087727018,6585.189191215938,362670.4095298325,4.713217566766743
2,2014-01-07 00:00:00+07:00,2814.564697265625,2882.7965687144883,2882.7965687144883,2814.564697265625,5678800,-0.0236687427845136,612.750065368997,10047.760831428834,3086.7800957015825,1997.4586019759304,6601.096638815033,370416.00077693106,4.593332349251892
3,2014-01-08 00:00:00+07:00,2878.5322265625,2814.5648437500004,2891.325703125,2780.44890625,3621500,0.0227273259552427,613.83725690105,10065.60963259993,3078.4218091195185,1998.1514583972412,6616.505129241463,378036.10851940763,4.689406180873959
4,2014-01-09 00:00:00+07:00,2938.235107421875,2835.887295262042,2942.4995995952013,2835.887295262042,6190900,0.0207407373481698,614.9027124216623,10083.101470587495,3070.3479806345968,1998.9714749231414,6631.419450941816,385531.62420654786,4.778373957483887
5,2014-01-10 00:00:00+07:00,3027.7890625,2912.6477882922536,3113.078895246479,2912.6477882922536,11283900,0.0304788254867403,615.9466187154129,10100.239413204881,3062.556885875994,1999.9181484401392,6645.844392362674,392903.43928763765,4.915667966186102
6,2014-01-13 00:00:00+07:00,3245.2783203125,3036.318218216163,3266.6007797100856,3036.318218216163,12796900,0.0718310467879563,618.950910081283,10149.560546969573,3040.8627602498777,2003.5130798028006,6686.230819414152,414285.59538746387,5.243191774104214
7,2014-01-15 00:00:00+07:00,3351.890625,3266.60078721374,3360.419608778626,3198.368916984733,13224400,0.0328515135420599,620.8494492415016,10180.728069206716,3027.7820649989862,2006.5337619193779,6710.795990905078,427938.2063273375,5.398878309540325
8,2014-01-16 00:00:00+07:00,3356.155029296875,3351.890537518861,3356.155029296875,3287.923160848654,5497800,0.001272238498795,621.7679826502393,10195.80706368357,3021.6511608110286,2008.2298119996321,6722.385208027281,434586.5382071288,5.397761098909462
9,2014-01-17 00:00:00+07:00,3339.097412109375,3360.419873233956,3360.419873233956,3309.2459665349616,3997400,-0.0050824878584567,622.6662743241677,10210.55363748375,3015.7909197536333,2010.0489972765404,6733.51856399609,441117.40962587105,5.362579522607964
