,Date,Close,Open,High,Low,Volume,Change,adx,macd,rsi,%k
13,2014-01-23 00:00:00+07:00,3360.419921875,3462.7677367544416,3479.825705901015,3360.419921875,6886100,-0.0223324723631996,100.0,58.42236173498577,75.71782065948855,82.92683084631946
14,2014-01-24 00:00:00+07:00,3313.5107421875,3313.5107421875,3377.4781310328185,3283.6592940596847,9489900,-0.0139593207926603,67.30794084154417,54.24011415154746,69.1920589703344,76.21954806100153
15,2014-01-27 00:00:00+07:00,3292.18798828125,3270.8655272172523,3360.419863686043,3044.847439938876,15219800,-0.0064350942445332,71.42899598768005,49.09169331320527,66.3910606338635,73.17072603589435
16,2014-01-28 00:00:00+07:00,3411.59326171875,3292.187497558594,3441.4447027587894,3283.658514404297,14279100,0.0362692755889184,64.14920566144708,51.945422602344934,72.98599489137109,90.24382218336198
17,2014-01-29 00:00:00+07:00,3475.56103515625,3441.445098614839,3603.4957971865415,3441.445098614839,21611900,0.0187501171828652,50.44985131508275,57.52638392333165,75.73319715275872,83.33333180787582
18,2014-01-30 00:00:00+07:00,3526.73486328125,3415.858071932625,3526.73486328125,3360.419676258313,12809100,0.0147239043156954,43.76788447421846,64.3984402921783,77.68803538984177,88.88888251583029
19,2014-02-03 00:00:00+07:00,3437.1806640625,3526.7349989822424,3526.7349989822424,3424.3871876453936,4452100,-0.0253929491981796,39.02109870493901,63.080413809810125,67.44823306990514,70.67670879621856
20,2014-02-04 00:00:00+07:00,3377.477783203125,3377.477783203125,3386.0067675041428,3326.303877397017,7110300,-0.0173697244033749,37.710115043439856,57.35612529996433,61.61734835453862,59.54198897192568
21,2014-02-05 00:00:00+07:00,3330.568115234375,3386.0065089578666,3420.1224435569384,3309.2456561099552,5981800,-0.0138889641856538,35.53116631696147,49.09437471634283,57.41726297603152,51.144995163537274
22,2014-02-06 00:00:00+07:00,3343.36181640625,3330.568340067961,3364.6842769700656,3283.658926827567,6788500,0.0038412969587247,34.291271281175725,42.974153104051766,58.25305522286898,53.43511219438414
23,2014-02-07 00:00:00+07:00,3411.59326171875,3377.477329101562,3420.122244873047,3373.212837524414,7307000,0.0204080351033741,31.722429503460603,42.404179673560975,62.48239803761017,65.64877834542429
24,2014-02-10 00:00:00+07:00,3275.1298828125,3432.916088104248,3454.2385482788086,3275.1298828125,9811800,-0.0399998969506406,31.14153873628482,31.97737972404957,51.29055051056724,41.22135863930105
25,2014-02-11 00:00:00+07:00,3322.039306640625,3283.658878194199,3339.0972748390363,3275.129894094993,5408500,0.0143229201609071,30.65531556822631,26.779710455811255,54.3195757103186,49.618308745667996
26,2014-02-12 00:00:00+07:00,3356.155029296875,3339.09706218482,3360.4195210748885,3313.5101115167367,6228400,0.0102695120398046,29.73156683281031,24.835260689787447,56.44108938183878,55.725141821188075
27,2014-02-13 00:00:00+07:00,3347.6259765625,3347.6259765625,3364.683943322054,3326.303518113057,6234700,-0.0025413166733724,28.83488361356384,22.41978196845639,55.74406931310618,54.198411701297324
28,2014-02-14 00:00:00+07:00,3368.94873046875,3360.419746340981,3368.94873046875,3334.832793957674,3912800,0.0063695150101998,27.948369843526045,21.811503432616973,57.1681795447446,58.01525885203493
29,2014-02-17 00:00:00+07:00,3420.12255859375,3390.2711148155004,3437.180526467036,3390.2711148155004,11567000,0.0151898506683061,25.330656945281827,24.80024780673557,60.45693619212207,44.15582416879265
30,2014-02-18 00:00:00+07:00,3411.59326171875,3424.3867364501957,3441.4447027587894,3407.3287701416016,12709500,-0.0024938570851995,22.92813776264922,26.223398224774883,59.63504044751959,41.55832652922819
31,2014-02-19 00:00:00+07:00,3411.59326171875,3411.59326171875,3424.3867364501957,3398.7997869873047,6471200,0.0,21.066140407096405,27.032012824965022,59.63504044751959,54.23712402341876
32,2014-02-20 00:00:00+07:00,3407.3291015625,3390.271133594728,3407.3291015625,3368.9486736350127,4301400,-0.0012499028545102,20.333425346123303,27.035992145778437,59.16864759746782,52.54234125382943
33,2014-02-21 00:00:00+07:00,3454.238525390625,3432.916065357349,3454.238525390625,3411.593605324074,9421800,0.0137672125086518,18.88905041115785,30.22013045669246,62.63101347920479,99.99998722106295
34,2014-02-24 00:00:00+07:00,3556.586181640625,3462.767361501424,3577.9086407631708,3462.767361501424,12285300,0.0296295856518553,20.169675456965017,40.02213142375149,68.83950424963109,92.95774272050497
35,2014-02-25 00:00:00+07:00,3569.380126953125,3582.1736041106637,3620.554035583277,3565.115634567279,11081600,0.0035972544060771,21.93136708033493,48.19075166171979,69.52118966626233,85.18519674444688
36,2014-02-26 00:00:00+07:00,3522.470458984375,3573.6443639575136,3582.1733481197034,3522.470458984375,9972200,-0.0131422449557908,22.25668096666014,50.48410864768857,63.993331197333475,71.6048875528429
37,2014-02-27 00:00:00+07:00,3582.17333984375,3505.412482561384,3582.17333984375,3492.619006347656,7117300,0.0169491501928986,21.783869253300104,56.226174485637785,67.53180127543213,88.88882105328744
38,2014-02-28 00:00:00+07:00,3612.02490234375,3582.173456869835,3620.553886764869,3548.05751918536,9806500,0.008333366274593,22.06224611129034,62.34660207353181,69.16355049956228,97.53082306211186
39,2014-03-03 00:00:00+07:00,3556.586181640625,3582.17313258768,3582.17313258768,3505.412279746516,5014400,-0.0153483772127794,21.24745079449431,62.18643623426624,62.84659539571147,79.16654624020855
40,2014-03-04 00:00:00+07:00,3526.73486328125,3565.115291055774,3569.379783030721,3509.676895381461,11138400,-0.008393250390914,20.508210619133493,59.05991399624918,59.685522504558215,68.11588536576761
41,2014-03-05 00:00:00+07:00,3565.11474609375,3560.850254770672,3586.4372027091435,3539.527798155278,11680900,0.0108825540621422,20.14876127002659,58.885220704644325,62.31034380801457,80.596721064872
42,2014-03-06 00:00:00+07:00,3552.32177734375,3603.495680498762,3603.495680498762,3535.2638096254127,9863400,-0.003588375034497,20.115007710373245,57.08752595909618,60.887301501872486,72.88123841591383
43,2014-03-07 00:00:00+07:00,3577.908447265625,3565.114972483984,3590.701922047266,3560.8504808901034,9865100,0.0072028018647025,20.084224745103523,57.00325652801348,62.72108491327835,83.050604332343
