,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_total_debt,interpolated_net_debt,interpolated_working_capital,interpolated_net_income,adx,macd,rsi,%k,pbv
13,2014-01-23 00:00:00+07:00,3360.419921875,3462.7677367544416,3479.825705901015,3360.419921875,6886100,-0.0223324723631996,627.641407873168,10292.22404362281,2986.2168343850167,2023.5217737121795,6791.013768596504,477885.8896163033,100.0,58.42236173498577,75.71782065948855,82.92683084631946,5.354044331240274
14,2014-01-24 00:00:00+07:00,3313.5107421875,3313.5107421875,3377.4781310328185,3283.6592940596847,9489900,-0.0139593207926603,628.4032373716433,10304.72957146032,2982.20295285853,2026.1888181878928,6799.090172995965,483619.4983877069,67.30794084154417,54.24011415154746,69.1920589703344,76.21954806100153,5.272905270263368
15,2014-01-27 00:00:00+07:00,3292.18798828125,3270.8655272172523,3360.419863686043,3044.847439938876,15219800,-0.0064350942445332,630.5769882563196,10340.41115720745,2971.695619779678,2034.9026008933777,6820.83321849645,500161.9172984894,71.42899598768005,49.09169331320527,66.3910606338635,73.17072603589435,5.220913622910431
16,2014-01-28 00:00:00+07:00,3411.59326171875,3292.187497558594,3441.4447027587894,3283.658514404297,14279100,0.0362692755889184,631.2649486295585,10351.703579245885,2968.6988646841883,2038.0430678430143,6827.268139252597,505459.5592985606,64.14920566144708,51.94542260234493,72.98599489137109,90.24382218336198,5.404376195961983
17,2014-01-29 00:00:00+07:00,3475.56103515625,3441.445098614839,3603.4957971865415,3441.445098614839,21611900,0.0187501171828652,631.9349086829357,10362.700394367945,2965.952080269392,2041.300632627402,6833.304660214382,510650.4382290134,50.44985131508275,57.52638392333165,75.73319715275872,83.33333180787582,5.499871881425154
18,2014-01-30 00:00:00+07:00,3526.73486328125,3415.858071932625,3526.73486328125,3360.419676258313,12809100,0.0147239043156954,632.58705520103,10373.404670386984,2963.4535421644664,2044.6747921330489,6838.947569828389,515735.4455391337,43.76788447421846,64.3984402921783,77.68803538984177,88.88888251583029,5.575098058496452
19,2014-02-03 00:00:00+07:00,3437.1806640625,3526.7349989822424,3526.7349989822424,3424.3871876453936,4452100,-0.0253929491981796,635.0212416121595,10413.35773970014,2955.907365427023,2059.327315098387,6857.678863738344,535034.5875620083,39.02109870493901,63.080413809810125,67.44823306990514,70.67670879621856,5.4127018733048375
20,2014-02-04 00:00:00+07:00,3377.477783203125,3377.477783203125,3386.0067675041428,3326.303877397017,7110300,-0.0173697244033749,635.5871222225246,10422.645337404463,2954.624193309114,2063.27690150795,6861.425543312245,539603.6085097548,37.710115043439856,57.35612529996433,61.61734835453862,59.54198897192568,5.313949362902039
21,2014-02-05 00:00:00+07:00,3330.568115234375,3386.0065089578666,3420.1224435569384,3309.2456561099552,5981800,-0.0138889641856538,636.1363100050809,10431.65880288592,2953.578921276142,2067.34006395782,6864.807342217882,544072.1065328841,35.53116631696147,49.09437471634283,57.41726297603152,51.14499516353728,5.235620200971979
22,2014-02-06 00:00:00+07:00,3343.36181640625,3330.568340067961,3364.6842769700656,3283.658926827567,6788500,0.0038412969587247,636.6689917444069,10440.401203957865,2952.769824957284,2071.516299334505,6867.82904890184,548440.9730806822,34.291271281175725,42.974153104051766,58.25305522286898,53.43511219438414,5.251334460699564
23,2014-02-07 00:00:00+07:00,3411.59326171875,3377.477329101562,3420.122244873047,3373.212837524414,7307000,0.0204080351033741,637.1853542250818,10448.875608433656,2952.1951799817166,2075.8051045245147,6870.495451810707,552711.0996024351,31.722429503460603,42.404179673560975,62.48239803761017,65.64877834542429,5.354161452545919
24,2014-02-10 00:00:00+07:00,3275.1298828125,3432.916088104248,3454.2385482788086,3275.1298828125,9811800,-0.0399998969506406,638.6383939609894,10472.721520417685,2951.8607094065387,2089.341907839564,6876.410722352609,564937.9535042809,31.14153873628482,31.97737972404957,51.29055051056724,41.22135863930105,5.128300950557254
25,2014-02-11 00:00:00+07:00,3322.039306640625,3283.658878194199,3339.0972748390363,3275.129894094993,5408500,0.0143229201609071,639.0913472528496,10480.15461664244,2952.2066260959123,2094.075961147948,6877.703794626963,568822.0344147115,30.65531556822631,26.77971045581125,54.3195757103186,49.618308745668,5.198066475035995
26,2014-02-12 00:00:00+07:00,3356.155029296875,3339.09706218482,3360.4195210748885,3313.5101115167367,6228400,0.0102695120398046,639.5289152089532,10487.335055337831,2952.778372274465,2098.920068702196,6878.665505359153,572611.8325455263,29.73156683281031,24.835260689787447,56.44108938183878,55.72514182118808,5.247855021848885
27,2014-02-13 00:00:00+07:00,3347.6259765625,3347.6259765625,3364.683943322054,3326.303518113057,6234700,-0.0025413166733724,639.9512846138796,10494.265904317215,2953.5742235713747,2103.8737273888155,6879.300642995766,576308.2393460112,28.83488361356384,22.41978196845639,55.74406931310618,54.19841170129733,5.231063765396331
28,2014-02-14 00:00:00+07:00,3368.94873046875,3360.419746340981,3368.94873046875,3334.832793957674,3912800,0.0063695150101998,640.3586422522076,10500.950231393956,2954.5924556158184,2108.9364340943152,6879.613995983385,579912.146265452,27.948369843526045,21.811503432616973,57.1681795447446,58.01525885203493,5.261034220791975
29,2014-02-17 00:00:00+07:00,3420.12255859375,3390.2711148155004,3437.180526467036,3390.2711148155004,11567000,0.0151898506683061,641.4925124133904,10519.554759341858,2958.964192526131,2124.7738111891745,6878.671231518149,590177.7822303695,25.330656945281827,24.80024780673557,60.45693619212207,44.15582416879265,5.331508150775976
30,2014-02-18 00:00:00+07:00,3411.59326171875,3424.386736450196,3441.4447027587894,3407.3287701416016,12709500,-0.0024938570851995,641.8416908311143,10525.283676941584,2960.854703852487,2130.267678835275,6877.7453303756565,593420.6041184933,22.92813776264922,26.223398224774883,59.63504044751959,41.55832652922819,5.315318886969016
31,2014-02-19 00:00:00+07:00,3411.59326171875,3411.59326171875,3424.386736450196,3398.7997869873047,6471200,0.0,642.1767914051344,10530.78141170545,2962.958974072266,2135.8680789327955,6876.521586817102,596575.3833720025,21.066140407096405,27.032012824965022,59.63504044751959,54.23712402341876,5.312545248254628
32,2014-02-20 00:00:00+07:00,3407.3291015625,3390.271133594728,3407.3291015625,3368.9486736350127,4301400,-0.0012499028545102,642.49800092003,10536.051031446814,2965.2752788146445,2141.574508368244,6875.004789289067,599643.011440183,20.333425346123303,27.03599214577844,59.16864759746782,52.54234125382943,5.303252456324143
