,Date,Close,Open,High,Low,Volume,Change,adx,macd,rsi,%k,interpolated_bvps,interpolated_equity,interpolated_total_debt,interpolated_net_debt,interpolated_working_capital,interpolated_net_income,pbv
0,2014-01-23 00:00:00+07:00,280.3352355957031,283.0702135039539,287.17268036633,278.9677466415777,93197000,0.0,100.0,2.6000777720307724,62.91661046136321,81.57903247938154,1019.639951393954,32614.32564127309,27375.31971762761,17794.6505672623,9314.40221210199,1296038461.164199,0.2749355154360671
1,2014-01-24 00:00:00+07:00,284.43768310546875,284.43768310546875,284.43768310546875,276.23274993896484,55790200,0.0146340773076494,67.70229599596243,3.260861194781967,66.23402427317872,94.4444103652749,1019.2167954327232,32600.792578648645,27372.70092108798,17756.169134280994,9374.21701331072,1316232244.0500867,0.27907476052207975
2,2014-01-27 00:00:00+07:00,263.92535400390625,276.23275393154955,277.6002428123988,262.557865123057,114887600,-0.0721153712040207,61.33099991576314,2.4772081130536776,44.70136606899537,52.77779352017215,1018.005393595732,32562.05074886143,27357.84649721812,17643.89331429383,9538.525566088192,1372887319.9254367,0.259257323845492
3,2014-01-28 00:00:00+07:00,255.7203826904297,263.9253147553633,266.6602921103411,254.3528940129408,91885700,-0.031088226989193,62.372924998372426,1.3410604750019957,39.21022486822083,32.35283295561965,1017.6208234222642,32549.75192924552,27350.63660639005,17607.510284972235,9588.364193813382,1390485468.773952,0.25129240361890465
4,2014-01-29 00:00:00+07:00,261.1903991699219,258.4554211681426,263.9253771717012,257.087932167253,41857200,0.021390615882638,62.99579887575313,0.7993756949063027,44.136995636166105,20.83348466488416,1017.245806013208,32537.758673595075,27342.334638399014,17571.641419831984,9635.794573479398,1407451119.9762526,0.2567623259058495
5,2014-01-30 00:00:00+07:00,259.8228759765625,257.08789833470394,262.55785361842106,254.35292069284537,60267100,-0.0052357330043731,64.18137144738202,0.2856378394570242,43.19447521117864,16.666720205681166,1016.8803038955529,32526.069783195435,27332.962871808675,17536.282544179638,9680.851023210918,1423790837.8775887,0.25550979302206034
6,2014-02-03 00:00:00+07:00,248.88291931152344,262.5578049879808,263.9252935556265,248.88291931152344,79974800,-0.0421054405772411,66.04912420448765,-0.826885046008897,36.48265880359417,0.0,1015.5126988787084,32482.33389981162,27285.223390727493,17399.863442580583,9838.023885285733,1483021663.3783112,0.24508105077005019
7,2014-02-04 00:00:00+07:00,244.780517578125,244.78051757812503,247.51549542816,240.67805080307264,61098500,-0.0164832594568834,68.36994046958237,-1.9479519035205608,34.32851751979291,8.823528251732457,1015.1942111228846,32472.148854946023,27270.83680959554,17366.99189396623,9871.725457215032,1496330179.953591,0.24111693594802763
8,2014-02-05 00:00:00+07:00,247.51547241210932,251.61793880568024,251.61793880568024,246.1479836142524,46415400,0.0111730903302444,67.05532604168447,-2.609232653532615,36.9992481645952,14.70583091695395,1014.8850138203926,32462.260983043238,27255.51410124624,17334.60528667917,9903.259007957937,1509052149.2994134,0.24388523728453923
9,2014-02-06 00:00:00+07:00,248.88291931152344,247.5154307438777,248.88291931152344,246.147942176232,52459400,0.0055246926023972,66.01220636561258,-2.998252720706489,38.34925690619233,17.64691661278391,1014.5850694982212,32452.66908538859,27239.27754424325,17302.699446025963,9932.658855639133,1521194135.761029,0.24530512698616033
10,2014-02-07 00:00:00+07:00,247.51547241210932,250.25045000782328,252.9854276035372,247.5154724121093,71746300,-0.0054943380734876,62.632433206654746,-3.359014712638356,37.484240688995484,14.70583091695395,1014.2943406833592,32443.371963267426,27222.14941715024,17271.270197313177,9959.9593183833,1532762703.683688,0.24402726357060323
11,2014-02-10 00:00:00+07:00,248.88291931152344,250.2504078791692,251.6178964468149,247.5154307438777,65517700,0.0055246926023972,59.84387290506852,-3.505014841220003,38.96682014365907,17.64691661278391,1013.477072552513,32417.237262958144,27165.63840096764,17179.800255882994,10029.60757824046,1564093539.6704414,0.24557330999574994
12,2014-02-11 00:00:00+07:00,258.4553527832031,248.8829323097512,259.8228414222677,248.8829323097512,116085900,0.0384615926965161,53.934756991707246,-2.905449599525525,48.22354487713997,38.23517285140197,1013.2228310367732,32409.10725582424,27145.16677915112,17150.23562799754,10048.853682483346,1573434076.8897877,0.2550824407684739
13,2014-02-12 00:00:00+07:00,257.0879211425781,261.19038796932136,261.19038796932136,255.7204322003304,83501800,-0.0052907847560503,48.44474047810469,-2.501279407859471,47.12402847349651,35.29411997396251,1012.9776176632852,32401.266030650484,27123.914980062866,17121.126718585325,10066.171992412616,1582234017.2964332,0.2537942760627061
14,2014-02-13 00:00:00+07:00,255.7203826904297,257.08787136791864,259.8228487228965,254.3528940129408,37714600,-0.0053193415158155,44.17856978931589,-2.254767613626313,45.99457639305576,34.37490466877938,1012.7413949590376,32393.71238872221,27101.905282266544,17092.469352952925,10081.596826152963,1590499925.2356288,0.25250314044956446
15,2014-02-14 00:00:00+07:00,258.4553527832031,258.4553527832031,258.4553527832031,254.35288686600944,23754900,0.0106951587667705,40.49555937117158,-1.839055025958288,48.64552560300636,48.14801346474805,1012.5141254510193,32386.445131324763,27079.15996432581,17064.259356406896,10095.162501829062,1598238365.052626,0.25526098479670645
16,2014-02-17 00:00:00+07:00,266.6603088378906,258.45537625826324,268.02779760116186,255.7203987317208,91117800,0.0317461254577688,38.64128756221918,-0.8972530242286325,55.67497599919852,94.99999479568572,1011.8856613742238,32366.349679170668,27006.73307527376,16982.271834352698,10125.04776171871,1618354519.2229378,0.2635281030425355
17,2014-02-18 00:00:00+07:00,261.1903991699219,266.66035517348047,268.0278441743701,259.82291016903224,82343600,-0.0205126503145769,37.01786077671797,-0.5513362797966579,50.693229545687565,75.0000122062207,1011.6938299210073,32360.21597274984,26981.268062391988,16955.809567217806,10131.519986384656,1624048730.0036514,0.25817138688126184
18,2014-02-19 00:00:00+07:00,259.8228759765625,261.1903647974918,263.92534243935035,259.8228759765625,40023800,-0.0052357330043731,35.588370673168725,-0.375341990141294,49.50069194453202,69.99988962834946,1011.5107642989626,32354.3626572865,26955.1788221841,16929.773795702116,10136.304643609772,1629248294.3884218,0.2568661502644861
19,2014-02-20 00:00:00+07:00,266.6603088378906,259.8228650215345,266.6603088378906,259.8228650215345,64787800,0.0263157462006728,35.03413435144615,0.2728741628908437,55.178161863268905,94.99983302281672,1011.3364270350784,32348.788534065985,26928.48763321376,16904.16034511218,10139.43605151874,1633959776.7224998,0.26367121929905674
20,2014-02-21 00:00:00+07:00,265.2928161621094,269.3952823914204,270.76277113452403,265.2928161621094,57328300,-0.0051282198004675,35.495094373938926,0.6747056344406133,53.87360776975984,81.8181624686861,1011.1707806563433,32343.492404373632,26901.216774044628,16878.965040754574,10140.948528236246,1638189741.351136,0.2623620275003495
21,2014-02-24 00:00:00+07:00,265.2928161621094,265.2928161621094,268.0277936483168,262.5578386759021,27364900,0.0,34.66513278976796,0.9811807982573556,53.87360776975984,77.77780629033386,1010.7256121009176,32329.259989318864,26816.14896098107,16805.846258141348,10136.11555248681,1648056172.4569092,0.26247758341719035
22,2014-02-25 00:00:00+07:00,257.0879211425781,266.6603437383124,266.6603437383124,257.0879211425781,45368800,-0.0309276939278958,32.02316613075632,0.5926041385089889,46.26259817758794,44.44466782557416,1010.5943545326642,32325.063846592493,26786.78220665336,16782.28179177869,10131.495485685293,1650425709.7162917,0.2543927936956119
23,2014-02-26 00:00:00+07:00,255.7203826904297,254.3528940129408,259.8228487228965,254.3528940129408,33261600,-0.0053193415158155,29.63410133776576,0.1784842468366037,45.118477469078655,35.29415326087493,1010.4716004845026,32321.139703820947,26756.947174945155,16759.114598181175,10125.428078315726,1652346550.996488,0.2530703312867145
24,2014-02-27 00:00:00+07:00,259.8228759765625,255.72040951377463,263.92534243935035,255.72040951377463,34825200,0.0160428873247042,27.77947373607085,0.1635134190225358,49.17896644315049,52.94130436373169,1010.3573124834214,32317.486362289572,26726.666144420116,16736.340502655377,10117.9476485028,1653825260.6427495,0.2571593957566629
25,2014-02-28 00:00:00+07:00,272.1302490234375,262.5578282035176,272.1302490234375,259.8228508263976,58093200,0.0473683196701479,27.534995143595097,1.0868192409723747,58.983245186025485,100.0,1010.2514530564092,32314.102623283696,26695.961393641894,16713.95533050785,10109.088514371184,1654868403.000327,0.2693688271371807
26,2014-03-03 00:00:00+07:00,268.0277709960937,268.0277709960937,270.7627482511559,265.2927937410316,41648700,-0.0150754208400787,27.313650009957787,1.4836319803673632,55.1630462407768,76.9230215877127,1009.984071489672,32305.5570342724,26601.527605424773,16649.091607400595,10074.582067311092,1655450069.7934675,0.26537821591658095
27,2014-03-04 00:00:00+07:00,277.6002197265625,266.66030958955514,280.3351972608144,265.2928208224292,150132000,0.0357143914412072,28.294649756360503,2.5108448107114896,61.43884264363032,89.47369386057844,1009.9115516288214,32303.239718221863,26569.35075927044,16628.22038183183,10060.551297151587,1654816586.4488196,0.2748757742980947
28,2014-03-05 00:00:00+07:00,278.9677429199219,280.33523185580384,284.43769866344974,274.865276112276,68200300,0.0049262323880954,29.57342855081835,3.3913456419304,62.25172224293963,81.8182151832731,1009.8472729769824,32301.186011123504,26536.861585681232,16607.717206174162,10045.31341329682,1653780357.5417438,0.27624745878407736
29,2014-03-06 00:00:00+07:00,278.9677429199219,277.6002539840399,280.33523185580384,273.497787176394,57321600,0.0,30.42720425634894,4.041853493378994,62.25172224293963,81.81821086401727,1009.791198061144,32299.39471426265,26504.0823632208,16587.57790573416,10028.902733871464,1652347947.41749,0.2762627991366489
30,2014-03-07 00:00:00+07:00,277.6002197265625,281.7026860279403,283.0701747950662,276.2327309594366,58485800,-0.0049020835851689,31.47796471533208,4.399216704114565,60.76610500273188,77.27264971031957,1009.7432894082942,32297.864628924624,26471.035370452813,16567.798305818385,10011.35357700021,1650525920.42131,0.27492157921567884
31,2014-03-10 00:00:00+07:00,273.4977111816406,274.86519973754883,278.9676654052734,272.1302226257324,57831400,-0.0147784772971825,31.467263262094008,4.310892367867609,56.41639439959726,63.63616912625012,1009.6481862975646,32294.829654900957,26370.51055594008,16510.57596228209,9952.218422957892,1642787781.6537204,0.2708841702420838
32,2014-03-11 00:00:00+07:00,263.92535400390625,272.1302872890018,276.23275393154955,262.557865123057,89433900,-0.034999770697814,29.759032104080283,3.4492810569284984,47.81586701834107,31.8182554354845,1009.6325679665564,32294.332428507638,26336.615267578443,16492.193417528877,9930.458537549874,1639472930.6223447,0.26140733012947803
33,2014-03-12 00:00:00+07:00,258.4553527832031,261.19033006133225,262.55781870039687,258.4553527832031,60940200,-0.0207255617458493,27.58467433133368,2.309566470069228,43.71476031495747,13.63631513622918,1009.6249285334796,32294.09042006384,26302.56360172754,16474.14969983272,9907.731765319377,1635801284.4452977,0.25599145333962764
34,2014-03-13 00:00:00+07:00,265.2928161621094,259.8228611896948,269.3952823914204,259.8228611896948,59973800,0.0264551045481407,26.421790543878625,1.923438736781748,49.54065844605713,36.36361371215855,1009.6252305253232,32294.10243085488,26268.37783695104,16456.44063450018,9884.072424391075,1631779407.4678302,0.2627636554051581
35,2014-03-14 00:00:00+07:00,265.2928161621094,265.2928161621094,269.3952823914204,261.1903499327984,38471900,0.0,25.354835081088066,1.599032071707029,49.54065844605714,36.36361371215855,1009.633436469076,32294.36726216609,26234.080251812597,16439.062046837822,9859.514832889656,1627413864.0351937,0.2627615197550314
36,2014-03-17 00:00:00+07:00,268.0277709960937,266.66028236856266,270.7627482511559,263.9253051135005,43667500,0.0103091929647773,24.54037280681228,1.5405291497663145,51.852543453709046,45.45443170401827,1009.7051032816725,32296.666692074185,26130.73935986219,16388.86740293748,9780.795736193537,1612320878.458779,0.2654515364188699
37,2014-03-18 00:00:00+07:00,266.6603088378906,268.02779760116186,276.23273018078925,266.6603088378906,105058100,-0.0051019420604108,24.398247276133965,1.3700120942880858,50.60412435080573,38.095167225210616,1009.744550302946,32297.93081831947,26096.21727891256,16372.768979021494,9752.988323646488,1606646312.6579762,0.26408690074919106
38,2014-03-19 00:00:00+07:00,273.4977111816406,268.0277569580078,274.86519973754883,268.0277569580078,89513200,0.0256408701150445,24.26751404836281,1.7569779860411927,56.27304155527235,57.89453526547668,1009.7917139110714,32299.441771511607,26061.694770419286,16356.98015930851,9724.454251149731,1600660902.1282594,0.27084566788763187
39,2014-03-20 00:00:00+07:00,262.557861328125,274.86526107788086,277.6002388000488,262.557861328125,94010200,-0.0399997857614612,23.25998130610921,1.1810248365531493,46.98233164626598,15.789600230211914,1009.8465566330368,32301.198352935928,26027.194112946025,16341.496769105092,9695.22783682796,1594371211.2148802,0.2599977784778788
40,2014-03-21 00:00:00+07:00,270.7628173828125,268.02783942945075,270.7628173828125,258.4554165926847,113423300,0.0312500871738652,21.755638208894155,1.361393284631447,53.22045660774105,47.368565780529735,1009.9090409958312,32303.19936387777,25992.73758505644,16326.314633717811,9665.343398805857,1587783804.2630882,0.268106142624314
41,2014-03-24 00:00:00+07:00,266.6603088378906,270.76277512770434,272.1302638909756,266.6603088378906,31652300,-0.015151668846471,20.55770666401465,1.1642748651690908,50.04949444795923,31.57896555031782,1010.141969199073,32310.656986661765,25889.855564526315,16282.534009518418,9572.08512378436,1566300930.629753,0.2639830013689281
42,2014-03-25 00:00:00+07:00,268.0277709960937,265.2927937410316,268.0277709960937,263.9253051135005,29746700,0.005128105356821,19.035725260721133,1.1042956573718925,51.09544765783855,38.888837824125496,1010.234645395068,32313.62372852704,25855.798340608013,16268.515146461315,9539.911772207748,1558588302.976825,0.2653123927375083
43,2014-03-26 00:00:00+07:00,266.6603088378906,269.3952863644331,270.76277512770434,266.6603088378906,44375600,-0.0051019420604108,18.040282622212,0.9368788713881032,49.968627841230486,33.333395832531885,1010.3347758668352,32316.828906336494,25821.89663909168,16254.776664753172,9507.251987554217,1550610781.0117402,0.26393262432158143
44,2014-03-27 00:00:00+07:00,265.2928161621094,268.0277936483168,269.3952823914204,265.2928161621094,33800800,-0.0051282198004675,16.880732735703145,0.687117122533607,48.80939658721838,33.33345929775593,1010.4423231413622,32320.27132137548,25788.17273854098,16241.314389700545,9474.140087948452,1542374929.0797489,0.2625511719831183
45,2014-03-28 00:00:00+07:00,268.0277709960937,266.66028236856266,268.0277709960937,265.2927937410316,27164400,0.0103091929647773,15.809887866786154,0.6996311410180169,51.24550789443816,49.9998704848268,1010.5572497456378,32323.94977492932,25754.648917519567,16228.124146610007,9440.610391515136,1533887311.526104,0.2652276959702754
46,2014-04-01 00:00:00+07:00,269.395263671875,269.395263671875,272.13024096803616,268.0277750237944,38515200,0.0051020559201724,15.599795217708651,0.8095362327667885,52.463634382959576,57.14273189741521,1011.09,32341.0,25623.0,16178.0,9303.0,1497550472.0,0.2664404392011344
47,2014-04-02 00:00:00+07:00,268.0277709960937,269.39525962362484,272.130236878687,265.2927937410316,51916600,-0.005076157082876,14.813732661392953,0.7782349141276086,51.08899188280902,49.99970383494582,1011.241261157848,32345.840665408166,25590.810755079925,16166.107296318358,9267.896091299168,1487902491.5168483,0.265048293904867
48,2014-04-03 00:00:00+07:00,269.395263671875,269.395263671875,269.395263671875,265.29279772763323,21530500,0.0051020559201724,14.086989597268111,0.8530632608751034,52.43125534400768,57.14258905461265,1011.3996768073764,32350.910177043195,25558.955261071096,16154.461576438189,9232.580294518884,1478042131.4835482,0.2663588587671479
49,2014-04-04 00:00:00+07:00,265.2928161621094,269.3952823914204,269.3952823914204,265.2928161621094,13003300,-0.0152283579668365,13.41487917814467,0.5770740599328974,48.161221163047394,35.71409279943406,1011.5652094755732,32356.207336190422,25527.45579653717,16143.058665666056,9197.086927783826,1467975956.2453508,0.26225972747683307
50,2014-04-07 00:00:00+07:00,268.0277709960937,265.2927937410316,270.7627482511559,265.2927937410316,28061100,0.0103091929647773,13.12771344740258,0.5709812836255992,51.02479986628312,49.99970383494582,1012.1041348620616,32373.45271155866,25435.31636542144,16110.26504106353,9089.884589096871,1436608182.753887,0.2648223258495262
51,2014-04-08 00:00:00+07:00,265.2928161621094,269.3952823914204,270.76277113452403,263.9253274190057,37870500,-0.0102039979805832,12.456510684854734,0.3428844669251134,48.15980551940129,35.71409279943406,1012.297760874819,32379.64847360804,25405.463804423736,16099.791619789195,9054.02412378957,1425784390.1486115,0.26206994267461936
52,2014-04-09 00:00:00+07:00,265.2928161621094,265.2928161621094,265.2928161621094,265.2928161621094,0,0.0,11.835250809994813,0.1602792004900379,48.15980551940129,35.71409279943406,1012.4983165411876,32386.065889596288,25376.07866571923,16089.54013415572,9018.157679150912,1414787604.0646944,0.2620180318604189
53,2014-04-10 00:00:00+07:00,261.1903991699219,263.9253771717012,266.66035517348047,254.35295416547368,70461000,-0.0154637319303839,13.33372372977385,-0.3101110056867355,43.87421359430872,38.46164076581141,1012.7057643881568,32392.703760808745,25347.1832278716,16079.506409469668,8982.319573305584,1403624388.8473864,0.25791341212294217
54,2014-04-11 00:00:00+07:00,276.23272705078125,257.08788458191526,276.23272705078125,257.08788458191526,92953400,0.0575914272831803,12.485658994360373,0.5189190594948627,58.46802193609275,100.0,1012.9200669427144,32399.56088853074,25318.799769444475,16069.686271037608,8946.544124378268,1392301308.8419385,0.2727093045797103
